199,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
200,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
201,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
202,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
203,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
204,TVS iQube,145 km (Range),Rs. 1.17 lakhs
205,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
206,Hero Glamour,60 km/l,"Rs. 83,106"
207,Honda Unicorn,60 km/l,"Rs.1,09,679"
208,Hero Passion Plus,70 km/l,"Rs. 80,538"
209,Honda Livo,60 - 74 km/l,"Rs. 73,150"
210,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
211,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
212,TVS Sport,73 km/l,"Rs. 59,431"
213,Bajaj Platina 100,72 km/l,"Rs. 67,808"
214,Bajaj Platina 110,70 km/l,"Rs. 70,400"
106,asd,asd,asd
107,asd,asd,asd
215,Bajaj CT 110X,70 km/l,"Rs. 69,216"
216,Hero HF Deluxe,70 km/l,"Rs. 59,998"
217,TVS Radeon,69.3 km/l,"Rs. 62,405"
218,TVS Raider,67 km/l,"Rs. 95,219"
219,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
220,Honda Shine 100,65 km/l,"Rs. 64,900"
221,Honda SP 125,65 km/l,"Rs. 86,017"
222,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
223,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
224,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
225,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
226,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
227,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
228,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
229,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
230,TVS iQube,145 km (Range),Rs. 1.17 lakhs
231,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
232,Hero Glamour,60 km/l,"Rs. 83,106"
